Paterson	74.1628	40.9147
Naperville	88.1620	41.7492
Frisco	96.8193	33.1510
Mesquite	96.5924	32.7639
Savannah	81.1536	32.0025
Syracuse	76.1436	43.0410
Dayton	84.1996	39.7774
Pasadena	118.1396	34.1606
Orange	117.8249	33.8048
Fullerton	117.9280	33.8857
McAllen	98.2461	26.2185
Killeen	97.7320	31.0777
Hampton	76.2971	37.0480
Bellevue	122.1565	47.5978
Warren	83.0250	42.4929
Miramar	80.3358	25.9770
West Valley City	112.0118	40.6885
Olathe	94.8188	38.8843
Columbia	80.8966	34.0298
Sterling Heights	83.0303	42.5812
Thornton	104.9454	39.9180
New Haven	72.9250	41.3108
Waco	97.1860	31.5601
Charleston	79.9589	32.8179
Thousand Oaks	118.8742	34.1933
Visalia	119.3234	36.3272
Cedar Rapids	91.6778	41.9670
Elizabeth	74.1935	40.6663
Roseville	121.3032	38.7657
Gainesville	82.3459	29.6788
Carrollton	96.8998	32.9884
Stamford	73.5460	41.0799
Denton	97.1417	33.2151
Midland	102.1097	32.0299
Coral Springs	80.2593	26.2708
Concord	122.0016	37.9722
Topeka	95.6948	39.0362
Simi Valley	118.7485	34.2669
Surprise	112.4527	33.6706
Lafayette	92.0314	30.2116
Kent	122.2169	47.3853
Hartford	72.6833	41.7660
Santa Clara	121.9679	37.3646
Victorville	117.3536	34.5277
Abilene	99.7381	32.4545
Murfreesboro	86.4161	35.8522
Evansville	87.5347	37.9877
Vallejo	122.2639	38.1079
Athens	83.3701	33.9496
Allentown	75.4782	40.5940
Berkeley	122.2991	37.8667
Norman	97.3453	35.2406
Ann Arbor	83.7313	42.2756
Beaumont	94.1458	30.0843
Independence	94.3513	39.0853
Columbia	92.3261	38.9479
Springfield	89.6708	39.7639
El Monte	118.0291	34.0746
Fargo	96.8290	46.8652
Peoria	89.6171	40.7523
Provo	111.6448	40.2453
Lansing	84.5562	42.7098
Odessa	102.3434	31.8804
Downey	118.1309	33.9382
Wilmington	77.8858	34.2092
Arvada	105.1066	39.8097
Costa Mesa	117.9123	33.6659
Round Rock	97.6674	30.5237
Carlsbad	117.2828	33.1239
Miami Gardens	80.2436	25.9489
Westminster	105.0644	39.8822
Inglewood	118.3443	33.9561
Rochester	92.4772	44.0154
Fairfield	122.0397	38.2568
Elgin	88.3217	42.0396
West Jordan	112.0010	40.6023
Clearwater	82.7663	27.9795
Manchester	71.4439	42.9847
Lowell	71.3221	42.6389
Gresham	122.4416	45.5023
Cambridge	71.1183	42.3760
Ventura	119.2550	34.2681
Temecula	117.1246	33.5019
Waterbury	73.0367	41.5585
Antioch	121.7976	37.9775
Billings	108.5499	45.7895
High Point	79.9902	35.9855
Richardson	96.7081	32.9723
Richmond	122.3594	37.9530
West Covina	117.9099	34.0559
Pueblo	104.6124	38.2731
Murrieta	117.1907	33.5719
Centennial	104.8691	39.5906
Norwalk	118.0834	33.9069
North Charleston	80.0169	32.8853
Everett	122.1742	48.0033
Pompano Beach	80.1290	26.2426
Daly City	122.4650	37.7009
Palm Bay	80.6626	27.9856
Burbank	118.3249	34.1890
Wichita Falls	98.5259	33.9067
Boulder	105.2797	40.0175
Green Bay	87.9842	44.5207
Broken Arrow	95.7810	36.0365
West Palm Beach	80.1266	26.7483
College Station	96.3144	30.6013
Pearland	95.2958	29.5544
Santa Maria	120.4438	34.9332
El Cajon	116.9605	32.8017
San Mateo	122.3131	37.5542
Lewisville	97.0061	33.0383
Rialto	117.3883	34.1118
Davenport	90.6040	41.5541
Lakeland	81.9589	28.0411
Clovis	119.4211	36.4931
Sandy Springs	84.227	33.5615
Tyler	95.30	32.35
Las Cruces	106.7653	32.3197
South Bend	86.2690	41.6769
