#City GoogleResults Latitude Longitude SearchPhrase
El_Monte 21500 118.0291 34.0746 http://www.google.com/search?q=El+Monte+"tech+hub"
Pueblo 7950 104.6124 38.2731 http://www.google.com/search?q=Pueblo+"tech+hub"
Rochester 24000 92.4772 44.0154 http://www.google.com/search?q=Rochester+"tech+hub"
Kent 19900 122.2169 47.3853 http://www.google.com/search?q=Kent+"tech+hub"
Waco 6720 97.1860 31.5601 http://www.google.com/search?q=Waco+"tech+hub"
Sioux_Falls 11900 96.7320 43.5383 http://www.google.com/search?q=Sioux+Falls+"tech+hub"
Fontana 5240 117.4627 34.1088 http://www.google.com/search?q=Fontana+"tech+hub"
Allentown 4090 75.4782 40.5940 http://www.google.com/search?q=Allentown+"tech+hub"
Garden_Grove 4730 117.9605 33.7788 http://www.google.com/search?q=Garden+Grove+"tech+hub"
Knoxville 9770 83.9465 35.9709 http://www.google.com/search?q=Knoxville+"tech+hub"
Gainesville 7630 82.3459 29.6788 http://www.google.com/search?q=Gainesville+"tech+hub"
Arvada 4520 105.1066 39.8097 http://www.google.com/search?q=Arvada+"tech+hub"
Denver 39700 104.8806 39.7618 http://www.google.com/search?q=Denver+"tech+hub"
Richardson 7810 96.7081 32.9723 http://www.google.com/search?q=Richardson+"tech+hub"
Surprise 83600 112.4527 33.6706 http://www.google.com/search?q=Surprise+"tech+hub"
Port_St._Lucie 1150 80.3838 27.2810 http://www.google.com/search?q=Port+St.+Lucie+"tech+hub"
North_Charleston 6500 80.0169 32.8853 http://www.google.com/search?q=North+Charleston+"tech+hub"
McAllen 8290 98.2461 26.2185 http://www.google.com/search?q=McAllen+"tech+hub"
Gilbert 10100 111.7422 33.3102 http://www.google.com/search?q=Gilbert+"tech+hub"
Laredo 10300 99.4869 27.5477 http://www.google.com/search?q=Laredo+"tech+hub"
Coral_Springs 47700 80.2593 26.2708 http://www.google.com/search?q=Coral+Springs+"tech+hub"
Murfreesboro 1420 86.4161 35.8522 http://www.google.com/search?q=Murfreesboro+"tech+hub"
Elk_Grove 6370 121.3849 38.4144 http://www.google.com/search?q=Elk+Grove+"tech+hub"
Oceanside 3300 117.3062 33.2246 http://www.google.com/search?q=Oceanside+"tech+hub"
Pittsburgh 30500 79.9766 40.4398 http://www.google.com/search?q=Pittsburgh+"tech+hub"
New_York_City 136000 73.9385 40.6643 http://www.google.com/search?q=New+York+City+"tech+hub"
Aurora 66600 88.2901 41.7635 http://www.google.com/search?q=Aurora+"tech+hub"
San_Diego 77200 117.1350 32.8153 http://www.google.com/search?q=San+Diego+"tech+hub"
Albuquerque 33900 106.6474 35.1056 http://www.google.com/search?q=Albuquerque+"tech+hub"
Boise 10400 116.2311 43.5985 http://www.google.com/search?q=Boise+"tech+hub"
Salem 15700 123.0231 44.9237 http://www.google.com/search?q=Salem+"tech+hub"
Palm_Bay 6530 80.6626 27.9856 http://www.google.com/search?q=Palm+Bay+"tech+hub"
Independence 104000 94.3513 39.0853 http://www.google.com/search?q=Independence+"tech+hub"
Honolulu 38400 157.8453 21.3259 http://www.google.com/search?q=Honolulu+"tech+hub"
Manchester 36400 71.4439 42.9847 http://www.google.com/search?q=Manchester+"tech+hub"
San_Antonio 33400 98.5251 29.4724 http://www.google.com/search?q=San+Antonio+"tech+hub"
Chula_Vista 2200 117.0152 32.6277 http://www.google.com/search?q=Chula+Vista+"tech+hub"
Rockford 13600 89.0628 42.2634 http://www.google.com/search?q=Rockford+"tech+hub"
Everett 18600 122.1742 48.0033 http://www.google.com/search?q=Everett+"tech+hub"
Overland_Park 53300 94.6906 38.8890 http://www.google.com/search?q=Overland+Park+"tech+hub"
Spokane 9920 117.4166 47.6736 http://www.google.com/search?q=Spokane+"tech+hub"
Killeen 1260 97.7320 31.0777 http://www.google.com/search?q=Killeen+"tech+hub"
Bridgeport 8660 73.1957 41.1874 http://www.google.com/search?q=Bridgeport+"tech+hub"
