Jose-Calderon 1 Chris-Bosh 1 1 280220028
Jose-Calderon 1 Chris-Bosh 1 2 280220028
Jason-Kapono 1 Jason-Kapono 1 1 271214011
Jason-Kapono 1 Jason-Kapono 1 2 271214011
Jason-Kapono 1 Jason-Kapono 1 3 271214011
Matt-Carroll 1 Emeka-Okafor 0 1 271117030
Deron-Williams 1 Deron-Williams 1 1 280328026
Deron-Williams 1 Deron-Williams 1 2 280328026
Mike-Dunleavy 1 Marquis-Daniels 1 1 271219011
Chris-Paul 1 Chris-Paul 1 1 271212007
Chris-Paul 1 Chris-Paul 0 2 271212007
Brad-Miller 1 Mikki-Moore 0 1 271223023
Hedo-Turkoglu 1 Maurice-Evans 0 1 280413004
Derek-Fisher 1 Derek-Fisher 0 1 280106013
Mike-Dunleavy 1 Troy-Murphy 1 1 280106013
Mike-Dunleavy 1 Troy-Murphy 1 2 280106013
Brevin-Knight 1 Al-Thornton 0 1 280106012
Allen-Iverson 1 Allen-Iverson 1 1 271220007
Jamal-Crawford 1 Jamal-Crawford 1 1 280227018
Jamal-Crawford 1 Jamal-Crawford 1 2 280227018
Corey-Maggette 1 Corey-Maggette 1 1 280305012
Corey-Maggette 1 Corey-Maggette 1 2 280305012
Paul-Pierce 1 Paul-Pierce 1 1 271230013
Ray-Allen 1 Kevin-Garnett 1 1 271230013
Ray-Allen 1 Kevin-Garnett 1 2 271230013
Stephen-Jackson 1 Monta-Ellis 1 2 280408009
Kevin-Martin 1 Francisco-Garcia 0 1 280408009
Kevin-Martin 0 Francisco-Garcia 1 1 280408009
Kevin-Martin 0 Francisco-Garcia 1 2 280408009
Ray-Allen 1 Ray-Allen 1 1 271127005
Ray-Allen 1 Ray-Allen 1 2 271127005
Anthony-Parker 1 Anthony-Parker 1 2 271205028
Manu-Ginobili 1 Manu-Ginobili 1 1 271205024
Manu-Ginobili 1 Manu-Ginobili 1 2 271205024
Jamal-Crawford 1 Wilson-Chandler 1 1 280406018
Jamal-Crawford 1 Wilson-Chandler 0 2 280406018
Jarrett-Jack 1 Jarrett-Jack 1 1 271231026
Jarrett-Jack 1 Jarrett-Jack 1 2 271231026
Rashard-Lewis 1 Hedo-Turkoglu 1 1 271116017
Rashard-Lewis 1 Hedo-Turkoglu 1 2 271116017
Chris-Paul 1 Chris-Paul 0 1 280319003
Andre-Iguodala 1 Willie-Green 1 1 271102004
Andre-Iguodala 1 Willie-Green 1 2 271102004
Darius-Songaila 1 Darius-Songaila 1 1 271102002
Darius-Songaila 1 Darius-Songaila 1 2 271102002
Caron-Butler 1 Antawn-Jamison 1 1 271228017
Ben-Gordon 1 Larry-Hughes 1 1 280302005
Ben-Gordon 1 Larry-Hughes 1 2 280302005
Vince-Carter 1 Bostjan-Nachbar 1 1 280318004
Vince-Carter 1 Bostjan-Nachbar 1 2 280318004
Kevin-Durant 1 Kevin-Durant 1 2 271128025
Kevin-Martin 1 Kevin-Martin 1 1 271128023
Kevin-Martin 1 Kevin-Martin 1 2 271128023
Kevin-Martin 1 Ron-Artest 1 1 271128023
Daniel-Gibson 1 LeBron-James 1 1 280127013
Daniel-Gibson 1 LeBron-James 0 2 280127013
Derek-Fisher 1 Derek-Fisher 0 2 271228013
Jose-Calderon 1 Andrea-Bargnani 1 1 280213028
Jose-Calderon 1 Andrea-Bargnani 1 2 280213028
Jose-Calderon 1 Andrea-Bargnani 1 3 280213028
Baron-Davis 1 Al-Harrington 1 1 280410009
Baron-Davis 1 Al-Harrington 1 2 280410009
Baron-Davis 1 Al-Harrington 1 3 280410009
Jamal-Crawford 1 Eddy-Curry 0 1 280307018
Vince-Carter 1 Vince-Carter 1 2 280329017
Steve-Nash 1 Amare-Stoudemire 1 1 280329017
Richard-Jefferson 1 Richard-Jefferson 0 1 271125013
Richard-Jefferson 1 Richard-Jefferson 0 1 271125013
Jamaal-Tinsley 1 Jeff-Foster 0 1 271125011
Louis-Williams 1 Reggie-Evans 0 1 280211020
Allen-Iverson 1 Allen-Iverson 1 1 280401007
Allen-Iverson 1 Allen-Iverson 1 2 280401007
Jamal-Crawford 1 Eddy-Curry 1 1 280121018
Jamal-Crawford 1 Eddy-Curry 1 2 280121018
Keyon-Dooling 1 Carlos-Arroyo 1 1 271124019
Keyon-Dooling 1 Carlos-Arroyo 1 2 271124019
Wally-Szczerbiak 1 LeBron-James 1 1 280322015
Wally-Szczerbiak 1 LeBron-James 1 2 280322015
Darrell-Armstrong 1 Bostjan-Nachbar 1 1 271110017
Darrell-Armstrong 1 Bostjan-Nachbar 0 2 271110017
Carmelo-Anthony 1 Bobby-Jones 1 1 271110011
Carmelo-Anthony 1 Bobby-Jones 1 2 271110011
Corey-Maggette 1 Chris-Kaman 1 1 271111012
LaMarcus-Aldridge 1 LaMarcus-Aldridge 0 1 271114007
Joe-Johnson 1 Al-Horford 0 1 280113001
Joe-Johnson 1 Marvin-Williams 0 2 271214008
Kevin-Martin 1 Kevin-Martin 1 1 271116023
Kevin-Martin 1 Kevin-Martin 1 2 271116023
Udonis-Haslem 1 Udonis-Haslem 1 1 271209012
Udonis-Haslem 1 Udonis-Haslem 1 2 271209012
James-Jones 1 Brandon-Roy 0 1 280416021
Michael-Redd 1 Mo-Williams 1 1 271120005
Michael-Redd 1 Mo-Williams 1 2 271120005
Luther-Head 1 Luis-Scola 0 1 280413007
Ray-Allen 1 Leon-Powe 1 1 280227002
Carmelo-Anthony 1 Allen-Iverson 1 1 271230007
Carmelo-Anthony 1 Allen-Iverson 1 2 271230007
Allen-Iverson 1 Allen-Iverson 0 1 271230007
Salim-Stoudamire 1 Al-Horford 1 1 280304001
Salim-Stoudamire 1 Al-Horford 1 2 280304001
Eddie-House 1 James-Posey 1 1 280408015
Anfernee-Hardaway 1 Shaquille-O'Neal 1 1 271109014
Chauncey-Billups 1 Chauncey-Billups 1 2 271211029
Eddie-House 1 James-Posey 1 1 271202002
Eddie-House 1 James-Posey 1 2 271202002
Zydrunas-Ilgauskas 1 Eric-Snow 0 1 271202002
Chris-Duhon 1 Joe-Smith 1 1 280207009
Chris-Duhon 1 Joe-Smith 1 2 280207009
Matt-Carroll 1 Jermareo-Davidson 1 1 271127014
Rasheed-Wallace 1 Rasheed-Wallace 1 1 280222008
Rasheed-Wallace 1 Rasheed-Wallace 1 2 280222008
Monta-Ellis 1 Baron-Davis 0 1 280313021
Carmelo-Anthony 1 Marcus-Camby 1 1 280222004
Carmelo-Anthony 1 Marcus-Camby 1 2 280222004
Kirk-Hinrich 1 Kirk-Hinrich 1 1 280129004
Kirk-Hinrich 1 Kirk-Hinrich 1 2 280129004
Jason-Hart 1 Matt-Harpring 1 1 271221019
Jason-Hart 1 Matt-Harpring 1 2 271221019
Paul-Pierce 1 Paul-Pierce 1 1 271221002
Paul-Pierce 1 Paul-Pierce 1 2 271221002
Ben-Gordon 1 Andres-Nocioni 1 1 271221002
Ben-Gordon 1 Andres-Nocioni 1 2 271221002
Kevin-Martin 1 Brad-Miller 1 1 271118023
Kevin-Martin 1 Brad-Miller 1 2 271118023
Steve-Nash 1 Boris-Diaw 1 1 280214021
Delonte-West 1 Delonte-West 1 2 280411004
Luther-Head 1 Shane-Battier 0 1 280321009
Yao-Ming 1 Yao-Ming 1 1 271126012
Yao-Ming 1 Yao-Ming 1 2 271126012
Kobe-Bryant 1 Lamar-Odom 1 1 280404013
Kobe-Bryant 1 Lamar-Odom 0 2 280404013
Coby-Karl 1 Lamar-Odom 0 1 280121013
Larry-Hughes 1 Luol-Deng 1 1 280225006
Larry-Hughes 1 Luol-Deng 0 2 280225006
Ben-Gordon 1 Drew-Gooden 1 1 280225006
Stephen-Jackson 1 Al-Harrington 1 1 271223005
Stephen-Jackson 1 Al-Harrington 0 2 271223005
Brad-Miller 1 Spencer-Hawes 1 1 280208023
Brad-Miller 1 Spencer-Hawes 1 2 280208023
Chauncey-Billups 1 Antonio-McDyess 0 1 271205003
Steve-Nash 1 Grant-Hill 1 1 280408029
Steve-Nash 1 Grant-Hill 1 2 280408029
Rashard-Lewis 1 Carlos-Arroyo 1 1 280102019
Rashard-Lewis 1 Carlos-Arroyo 1 2 280102019
Nate-Robinson 1 Nate-Robinson 1 2 280102018
Francisco-Garcia 1 Spencer-Hawes 1 1 280102018
Francisco-Garcia 1 Spencer-Hawes 1 2 280102018
Chris-Paul 1 Bobby-Jackson 1 1 280102012
Chris-Paul 1 Bobby-Jackson 1 2 280102012
