WPCT, FG3A, FGA, FG2PCT, FG3PCT, FTM, OREB, DREB, AST, TOV, STL, BLK, BLKA, PF, PTS, year, team
0.695, 20.1, 84.5, 0.487577639752, 0.378, 19.6, 11.2, 31.3, 22.1, 12.1, 7.1, 4.8, 4.6, 22.5, 105.2, 01, "Dallas Mavericks"
0.329, 15.7, 83.8, 0.444933920705, 0.329, 15.9, 13.6, 28.2, 22.2, 14.7, 7.5, 5.6, 6.8, 22.8, 92.2, 01, "Denver Nuggets"
0.61, 18.4, 76.8, 0.47602739726, 0.376, 18.0, 9.9, 28.9, 21.5, 14.5, 7.9, 6.9, 4.1, 20.7, 94.3, 01, "Detroit Pistons"
0.256, 12.1, 85.2, 0.447332421341, 0.322, 20.6, 16.3, 30.4, 20.8, 16.8, 7.9, 6.4, 6.3, 23.0, 97.7, 01, "Golden State Warriors"
0.341, 18.0, 80.8, 0.455414012739, 0.335, 17.1, 12.5, 29.4, 18.1, 14.1, 6.5, 5.4, 5.1, 18.0, 92.3, 01, "Houston Rockets"
0.512, 14.6, 80.2, 0.471036585366, 0.339, 20.3, 11.3, 31.3, 23.0, 15.2, 8.0, 5.3, 5.7, 22.9, 96.8, 01, "Indiana Pacers"
0.476, 14.0, 81.3, 0.463595839525, 0.356, 18.3, 13.2, 30.2, 20.9, 14.8, 6.2, 6.6, 5.4, 19.8, 95.7, 01, "Los Angeles Clippers"
0.707, 17.5, 83.4, 0.488619119879, 0.354, 18.2, 12.5, 31.8, 23.0, 12.7, 7.6, 5.8, 4.3, 22.2, 101.3, 01, "Los Angeles Lakers"
0.28, 13.4, 79.7, 0.463046757164, 0.307, 16.3, 12.0, 29.4, 21.8, 16.4, 7.9, 6.0, 5.6, 19.2, 89.9, 01, "Memphis Grizzlies"
0.439, 11.0, 77.8, 0.455089820359, 0.347, 15.1, 11.0, 31.0, 20.3, 14.8, 6.7, 5.5, 4.3, 22.5, 87.2, 01, "Miami Heat"
0.5, 19.3, 80.2, 0.490968801314, 0.375, 16.1, 10.3, 31.2, 22.5, 14.1, 7.3, 4.7, 4.4, 21.8, 97.5, 01, "Milwaukee Bucks"
0.61, 12.8, 84.0, 0.476123595506, 0.378, 17.1, 12.9, 31.2, 24.3, 13.4, 6.4, 5.2, 5.0, 21.2, 99.3, 01, "Minnesota Timberwolves"
0.634, 14.6, 83.1, 0.470072992701, 0.338, 17.1, 12.7, 30.7, 24.3, 14.5, 8.7, 6.0, 5.4, 21.1, 96.2, 01, "New Jersey Nets"
0.366, 16.4, 79.5, 0.45324881141, 0.353, 17.1, 10.7, 30.0, 21.0, 14.5, 6.8, 3.5, 4.7, 22.0, 91.6, 01, "New York Knicks"
0.537, 20.2, 84.0, 0.470219435737, 0.373, 17.6, 11.5, 29.7, 22.0, 13.6, 8.1, 4.7, 4.7, 20.7, 100.5, 01, "Orlando Magic"
0.524, 8.7, 78.5, 0.452722063037, 0.299, 20.0, 13.3, 30.9, 20.0, 15.3, 8.6, 4.4, 5.6, 20.0, 91.0, 01, "Philadelphia 76ers"
0.439, 13.4, 84.6, 0.469101123596, 0.327, 15.2, 13.1, 29.6, 22.4, 14.7, 8.1, 4.9, 5.8, 21.8, 95.1, 01, "Phoenix Suns"
0.598, 16.1, 81.4, 0.473200612557, 0.354, 17.7, 13.2, 29.8, 23.5, 14.3, 8.6, 4.5, 5.0, 19.7, 96.6, 01, "Portland Trail Blazers"
0.744, 14.1, 85.4, 0.485273492286, 0.367, 19.7, 12.4, 33.0, 23.9, 13.8, 9.0, 4.6, 4.7, 19.0, 104.6, 01, "Sacramento Kings"
0.707, 14.8, 77.6, 0.480891719745, 0.362, 20.3, 11.1, 31.3, 20.0, 14.4, 7.6, 6.5, 5.2, 19.2, 96.7, 01, "San Antonio Spurs"
0.549, 15.8, 81.5, 0.490106544901, 0.378, 15.4, 11.8, 28.5, 23.5, 13.7, 8.5, 4.4, 4.9, 21.1, 97.7, 01, "Seattle SuperSonics"
0.512, 13.5, 82.0, 0.451094890511, 0.349, 15.5, 13.6, 28.5, 21.7, 14.3, 8.4, 5.6, 4.8, 21.6, 91.4, 01, "Toronto Raptors"
0.537, 10.3, 77.7, 0.46884272997, 0.333, 22.6, 13.5, 28.6, 24.4, 16.5, 9.1, 6.4, 6.7, 24.0, 96.0, 01, "Utah Jazz"
0.451, 9.6, 81.3, 0.44769874477, 0.388, 17.4, 12.9, 29.2, 20.9, 13.0, 7.0, 4.3, 5.0, 21.5, 92.8, 01, "Washington Wizards"
0.427, 13.9, 78.5, 0.46439628483, 0.352, 19.4, 11.4, 31.2, 20.5, 16.7, 7.5, 5.8, 5.0, 21.7, 94.1, 02, "Atlanta Hawks"
0.537, 26.3, 79.4, 0.453860640301, 0.334, 18.0, 10.4, 30.1, 19.2, 14.0, 8.8, 3.7, 4.5, 21.4, 92.7, 02, "Boston Celtics"
0.366, 12.2, 81.9, 0.461979913917, 0.35, 17.7, 12.0, 31.0, 21.7, 16.9, 7.4, 5.6, 5.0, 24.7, 95.0, 02, "Chicago Bulls"
0.207, 10.9, 82.3, 0.436974789916, 0.327, 18.3, 13.6, 31.0, 20.9, 18.3, 7.8, 6.4, 6.0, 22.7, 91.4, 02, "Cleveland Cavaliers"
0.732, 20.3, 85.1, 0.473765432099, 0.381, 18.1, 11.1, 31.0, 22.4, 11.6, 8.1, 5.5, 3.9, 21.1, 103.0, 02, "Dallas Mavericks"
0.207, 10.0, 79.8, 0.429799426934, 0.278, 15.8, 13.6, 28.8, 21.2, 18.5, 8.7, 5.1, 6.6, 25.1, 84.2, 02, "Denver Nuggets"
0.61, 18.1, 76.5, 0.452054794521, 0.358, 19.0, 10.8, 29.8, 19.8, 13.5, 6.8, 5.7, 4.3, 21.3, 91.4, 02, "Detroit Pistons"
0.463, 15.1, 84.6, 0.461870503597, 0.344, 22.6, 15.7, 31.0, 20.9, 15.8, 7.2, 6.2, 6.0, 21.8, 102.4, 02, "Golden State Warriors"
0.524, 15.5, 78.8, 0.461295418641, 0.346, 19.1, 12.5, 31.3, 18.4, 15.6, 7.2, 6.0, 4.6, 19.5, 93.8, 02, "Houston Rockets"
0.585, 13.6, 80.6, 0.461194029851, 0.339, 21.2, 12.2, 32.0, 23.3, 14.8, 8.5, 5.4, 6.3, 22.1, 96.8, 02, "Indiana Pacers"
0.329, 14.4, 79.1, 0.460587326121, 0.331, 19.9, 12.3, 30.0, 19.6, 15.7, 7.0, 5.6, 5.1, 21.8, 93.8, 02, "Los Angeles Clippers"
0.61, 16.7, 83.6, 0.47533632287, 0.356, 19.0, 13.1, 31.1, 23.3, 14.5, 7.8, 5.7, 3.8, 22.9, 100.4, 02, "Los Angeles Lakers"
0.341, 15.6, 82.2, 0.472972972973, 0.365, 17.4, 11.5, 30.1, 23.1, 15.4, 7.9, 6.1, 5.2, 20.5, 97.5, 02, "Memphis Grizzlies"
0.305, 13.4, 79.5, 0.432677760968, 0.316, 15.8, 11.6, 30.0, 18.3, 14.2, 7.2, 4.0, 5.3, 22.6, 85.6, 02, "Miami Heat"
0.512, 18.6, 81.3, 0.478468899522, 0.383, 18.1, 10.7, 28.9, 22.2, 12.7, 7.6, 4.2, 4.1, 22.2, 99.5, 02, "Milwaukee Bucks"
0.622, 9.8, 83.0, 0.479508196721, 0.368, 17.1, 11.7, 31.9, 25.2, 13.7, 6.7, 5.3, 4.9, 20.8, 98.1, 02, "Minnesota Timberwolves"
0.598, 12.7, 80.3, 0.461538461538, 0.332, 20.3, 12.1, 30.8, 23.0, 14.8, 8.7, 4.6, 5.2, 21.6, 95.4, 02, "New Jersey Nets"
0.573, 13.1, 81.6, 0.446715328467, 0.376, 17.9, 13.4, 30.2, 22.0, 14.8, 8.0, 4.8, 5.2, 21.6, 93.9, 02, "New Orleans Hornets"
0.451, 19.3, 82.0, 0.459330143541, 0.383, 16.1, 10.3, 29.0, 22.0, 14.0, 7.1, 3.1, 3.8, 23.0, 95.9, 02, "New York Knicks"
0.512, 19.4, 82.5, 0.459587955626, 0.357, 19.7, 11.7, 29.2, 20.4, 14.4, 8.5, 3.7, 5.0, 23.0, 98.5, 02, "Orlando Magic"
0.585, 9.6, 81.0, 0.466386554622, 0.311, 21.3, 12.7, 29.5, 21.6, 14.8, 10.3, 3.5, 6.4, 22.0, 96.8, 02, "Philadelphia 76ers"
