1930	13
1931	9
1932	6
1933	12
1934	15
1935	9
1936	13
1937	7
1938	7
1939	6
1940	16
1941	25
1942	25
1943	16
1944	11
1945	25
1946	82
1947	79
1948	81
1949	79
1950	143
1951	145
1952	183
1953	182
1954	174
1955	173
1956	192
1957	209
1958	190
1959	204
1960	219
1961	230
1962	242
1963	294
1964	323
1965	383
1966	377
1967	443
1968	463
1969	420
1970	454
1971	461
1972	505
1973	506
1974	525
1975	515
1976	550
1977	615
1978	659
1979	701
1980	702
1981	843
1982	898
1983	1024
1984	1064
1985	1133
1986	1188
1987	1231
1988	1236
1989	1305
1990	1265
1991	1273
1992	1297
1993	1248
1994	1368
1995	1253
1996	1374
1997	1419
1998	1422
1999	1565
2000	1891
2001	2004
2002	1972
2003	2052
2004	2297
2005	2639
2006	2825
2007	2988
2008	3354
2009	3447
2010	3788
2011	3995
2012	4387
2013	4551
2014	4691
