1930	0
1931	0
1932	0
1933	3
1934	2
1935	1
1936	1
1937	1
1938	2
1939	1
1940	1
1941	2
1942	1
1943	1
1944	0
1945	2
1946	12
1947	9
1948	18
1949	16
1950	42
1951	49
1952	61
1953	70
1954	61
1955	54
1956	61
1957	86
1958	58
1959	62
1960	88
1961	72
1962	78
1963	92
1964	83
1965	120
1966	106
1967	93
1968	122
1969	114
1970	113
1971	98
1972	93
1973	82
1974	78
1975	72
1976	57
1977	69
1978	74
1979	61
1980	73
1981	72
1982	60
1983	70
1984	59
1985	58
1986	59
1987	52
1988	43
1989	52
1990	33
1991	55
1992	39
1993	40
1994	47
1995	46
1996	52
1997	44
1998	53
1999	53
2000	57
2001	52
2002	46
2003	61
2004	81
2005	95
2006	111
2007	126
2008	153
2009	174
2010	220
2011	218
2012	258
2013	250
2014	303
