1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	1
1961	1
1962	1
1963	1
1964	3
1965	3
1966	2
1967	3
1968	5
1969	6
1970	7
1971	2
1972	2
1973	14
1974	12
1975	10
1976	29
1977	49
1978	98
1979	134
1980	200
1981	242
1982	356
1983	398
1984	481
1985	584
1986	656
1987	827
1988	1006
1989	1096
1990	1361
1991	1488
1992	1668
1993	1880
1994	2027
1995	2093
1996	2051
1997	2273
1998	2213
1999	2053
2000	2011
2001	1776
2002	1676
2003	1538
2004	1418
2005	1443
2006	1432
2007	1331
2008	1237
2009	1231
2010	1150
2011	1103
2012	1097
2013	1087
2014	980
