1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	1
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	3
1967	0
1968	0
1969	2
1970	1
1971	3
1972	3
1973	1
1974	2
1975	3
1976	6
1977	6
1978	8
1979	4
1980	2
1981	1
1982	0
1983	3
1984	2
1985	2
1986	4
1987	3
1988	3
1989	2
1990	1
1991	1
1992	3
1993	2
1994	2
1995	4
1996	2
1997	2
1998	5
1999	5
2000	2
2001	3
2002	4
2003	7
2004	6
2005	9
2006	4
2007	7
2008	10
2009	6
2010	12
2011	17
2012	11
2013	10
2014	9
