1930	3
1931	0
1932	8
1933	1
1934	5
1935	4
1936	7
1937	0
1938	4
1939	0
1940	1
1941	1
1942	0
1943	1
1944	0
1945	3
1946	31
1947	29
1948	25
1949	25
1950	70
1951	85
1952	117
1953	115
1954	96
1955	127
1956	128
1957	142
1958	100
1959	100
1960	110
1961	115
1962	117
1963	161
1964	168
1965	214
1966	186
1967	198
1968	248
1969	215
1970	198
1971	202
1972	221
1973	248
1974	301
1975	300
1976	339
1977	357
1978	368
1979	352
1980	388
1981	381
1982	390
1983	336
1984	381
1985	361
1986	407
1987	385
1988	400
1989	344
1990	410
1991	406
1992	445
1993	463
1994	418
1995	583
1996	583
1997	631
1998	698
1999	777
2000	925
2001	1051
2002	1219
2003	1340
2004	1755
2005	1992
2006	2331
2007	2668
2008	3050
2009	3341
2010	3717
2011	4107
2012	4528
2013	5276
2014	5221
