1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	1
1947	0
1948	0
1949	1
1950	0
1951	2
1952	4
1953	1
1954	3
1955	1
1956	3
1957	7
1958	7
1959	3
1960	4
1961	2
1962	3
1963	9
1964	9
1965	5
1966	7
1967	3
1968	16
1969	16
1970	24
1971	27
1972	23
1973	25
1974	21
1975	27
1976	27
1977	23
1978	35
1979	34
1980	28
1981	33
1982	47
1983	41
1984	46
1985	54
1986	66
1987	62
1988	81
1989	81
1990	64
1991	95
1992	115
1993	102
1994	93
1995	100
1996	129
1997	129
1998	168
1999	163
2000	206
2001	295
2002	343
2003	328
2004	411
2005	464
2006	649
2007	832
2008	991
2009	1019
2010	1182
2011	1385
2012	1761
2013	2072
2014	2223
