1930	1
1931	1
1932	1
1933	1
1934	1
1935	0
1936	1
1937	0
1938	0
1939	0
1940	0
1941	0
1942	1
1943	1
1944	0
1945	0
1946	5
1947	0
1948	0
1949	0
1950	3
1951	2
1952	3
1953	1
1954	0
1955	0
1956	1
1957	2
1958	1
1959	2
1960	3
1961	1
1962	4
1963	3
1964	3
1965	3
1966	6
1967	2
1968	0
1969	2
1970	3
1971	1
1972	4
1973	2
1974	2
1975	0
1976	0
1977	1
1978	2
1979	0
1980	0
1981	0
1982	1
1983	0
1984	0
1985	1
1986	1
1987	0
1988	0
1989	0
1990	0
1991	1
1992	0
1993	1
1994	1
1995	1
1996	1
1997	0
1998	1
1999	2
2000	1
2001	0
2002	1
2003	3
2004	0
2005	1
2006	0
2007	0
2008	1
2009	0
2010	0
2011	2
2012	0
2013	1
2014	0
