1930	10
1931	5
1932	17
1933	7
1934	5
1935	5
1936	5
1937	4
1938	6
1939	6
1940	4
1941	2
1942	4
1943	3
1944	4
1945	16
1946	70
1947	44
1948	68
1949	56
1950	131
1951	155
1952	167
1953	176
1954	176
1955	206
1956	191
1957	203
1958	176
1959	202
1960	205
1961	189
1962	218
1963	250
1964	258
1965	283
1966	290
1967	340
1968	379
1969	418
1970	357
1971	418
1972	422
1973	429
1974	408
1975	455
1976	456
1977	396
1978	442
1979	424
1980	412
1981	456
1982	432
1983	463
1984	476
1985	444
1986	432
1987	443
1988	441
1989	458
1990	430
1991	346
1992	386
1993	320
1994	313
1995	285
1996	282
1997	260
1998	270
1999	259
2000	285
2001	236
2002	255
2003	274
2004	267
2005	280
2006	284
2007	304
2008	307
2009	317
2010	379
2011	401
2012	418
2013	442
2014	443
