1930	16
1931	7
1932	12
1933	10
1934	8
1935	9
1936	6
1937	7
1938	8
1939	10
1940	6
1941	3
1942	3
1943	4
1944	3
1945	20
1946	80
1947	127
1948	125
1949	98
1950	155
1951	199
1952	172
1953	195
1954	196
1955	181
1956	136
1957	219
1958	206
1959	187
1960	190
1961	206
1962	202
1963	238
1964	288
1965	352
1966	345
1967	333
1968	319
1969	366
1970	331
1971	333
1972	343
1973	325
1974	345
1975	348
1976	357
1977	302
1978	336
1979	331
1980	296
1981	323
1982	333
1983	331
1984	396
1985	426
1986	393
1987	418
1988	436
1989	404
1990	436
1991	470
1992	444
1993	440
1994	507
1995	494
1996	527
1997	439
1998	504
1999	592
2000	840
2001	1189
2002	1265
2003	1337
2004	1624
2005	1945
2006	2086
2007	2438
2008	2469
2009	2734
2010	3226
2011	3584
2012	3958
2013	4222
2014	4585
