1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	1
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	1
1962	0
1963	1
1964	0
1965	0
1966	0
1967	0
1968	1
1969	0
1970	0
1971	0
1972	5
1973	0
1974	1
1975	2
1976	0
1977	0
1978	0
1979	0
1980	0
1981	1
1982	1
1983	0
1984	0
1985	0
1986	0
1987	0
1988	3
1989	1
1990	0
1991	1
1992	0
1993	4
1994	1
1995	5
1996	3
1997	8
1998	14
1999	22
2000	32
2001	57
2002	54
2003	109
2004	211
2005	261
2006	340
2007	442
2008	532
2009	659
2010	868
2011	1062
2012	1118
2013	1306
2014	1318
