"FG3M" "FG3_PCT" "DEF_RATING" PLAYER_NAME
0.4 0.277 103.2 Evan_Turner
0.0 0.0 98.6 Festus_Ezeli
0.7 0.222 98.5 Francisco_Garcia
0.0 0.0 108.4 Furkan_Aldemir
0.0 0.0 100.0 Gal_Mekel
0.6 0.375 97.8 Garrett_Temple
0.4 0.204 107.6 Gary_Harris
0.9 0.305 102.9 Gary_Neal
1.6 0.358 99.8 George_Hill
1.9 0.354 106.0 Gerald_Green
0.6 0.331 99.1 Gerald_Henderson
0.0 0.333 100.6 Gerald_Wallace
0.1 0.159 99.7 Giannis_Antetokounmpo
0.9 0.45 92.5 Gigi_Datome
0.0 0.0 99.8 Glen_Davis
0.2 0.143 112.7 Glen_Rice_Jr.
0.1 0.263 103.6 Glenn_Robinson
1.2 0.347 104.0 Goran_Dragic
1.6 0.364 102.7 Gordon_Hayward
0.0 0.167 108.6 Gorgui_Dieng
0.1 0.067 116.6 Grant_Jerrett
0.0 0.0 103.7 Greg_Monroe
0.0 0.0 97.9 Greg_Smith
0.0 0.0 122.0 Greg_Stiemsma
1.6 0.379 104.8 Greivis_Vasquez
1.1 0.405 97.9 Harrison_Barnes
0.0 0.0 105.6 Hassan_Whiteside
1.0 0.432 104.3 Hedo_Turkoglu
0.1 0.182 101.8 Henry_Sims
1.9 0.341 101.0 Henry_Walker
1.6 0.401 102.4 Hollis_Thompson
0.3 0.333 109.7 Ian_Clark
0.0 0.0 99.3 Ian_Mahinmi
1.1 0.342 102.8 Iman_Shumpert
1.9 0.37 101.0 Isaiah_Canaan
1.9 0.373 104.5 Isaiah_Thomas
0.3 0.3 101.2 Ish_Smith
2.3 0.383 105.1 J.R._Smith
0.0 0.0 105.1 JJ_Hickson
2.6 0.437 101.6 JJ_Redick
0.4 0.244 103.9 JaKarr_Sampson
0.0 0.0 103.1 JaMychal_Green
0.0 0.0 109.1 JaVale_McGee
1.2 0.371 112.1 Jabari_Brown
0.2 0.25 104.0 Jabari_Parker
0.0 0.0 97.4 Jack_Cooley
0.7 0.293 103.1 Jae_Crowder
0.3 0.5 146.4 Jamaal_Franklin
1.9 0.327 105.6 Jamal_Crawford
1.4 0.345 104.8 Jameer_Nelson
0.5 0.326 100.7 James_Ennis
2.6 0.375 101.9 James_Harden
0.2 0.216 101.9 James_Johnson
1.1 0.36 112.5 James_Jones
0.0 0.0 103.2 James_Michael_McAdoo
0.5 0.258 106.2 James_Young
1.0 0.409 99.6 Jannero_Pargo
0.2 0.308 97.9 Jared_Cunningham
1.0 0.385 96.8 Jared_Dudley
0.9 0.283 103.4 Jared_Sullinger
0.0 0.0 89.9 Jarnell_Stokes
0.5 0.267 106.8 Jarrett_Jack
0.0 0.0 102.6 Jason_Maxiell
1.6 0.323 100.1 Jason_Richardson
0.2 0.357 111.1 Jason_Smith
1.6 0.39 99.0 Jason_Terry
0.0 0.0 106.8 Jason_Thompson
0.0 0.0 103.5 Jeff_Adrien
0.0 0.0 108.9 Jeff_Ayres
1.2 0.332 103.5 Jeff_Green
0.4 0.306 104.4 Jeff_Taylor
1.0 0.343 99.9 Jeff_Teague
0.0 0.0 109.2 Jeff_Withey
0.8 0.314 100.8 Jerami_Grant
0.2 0.5 94.7 Jerel_McNeal
0.1 0.4 95.1 Jeremy_Evans
0.8 0.342 104.1 Jeremy_Lamb
0.9 0.369 108.5 Jeremy_Lin
0.0 0.0 106.0 Jerome_Jordan
0.0 0.0 0.0 Jerrelle_Benimon
0.5 0.308 98.6 Jerryd_Bayless
0.2 0.188 104.9 Jimmer_Fredette
1.1 0.378 101.8 Jimmy_Butler
0.0 0.0 101.4 Joakim_Noah
1.2 0.349 105.0 Jodie_Meeks
0.6 0.369 113.4 Joe_Harris
0.9 0.356 102.1 Joe_Ingles
1.5 0.359 106.2 Joe_Johnson
0.0 0.0 97.4 Joel_Anthony
0.0 0.0 96.8 Joel_Freeland
0.0 0.0 102.3 Joey_Dorsey
0.1 0.188 110.3 Joffrey_Lauvergne
0.0 0.0 97.6 John_Henson
0.9 0.404 98.8 John_Jenkins
0.4 0.31 106.3 John_Lucas_III
0.4 0.308 109.5 John_Salmons
0.8 0.3 98.1 John_Wall
0.0 0.0 104.5 Johnny_O'Bryant
0.1 0.241 98.0 Jon_Leuer
0.7 0.386 99.8 Jonas_Jerebko
0.0 0.0 105.6 Jonas_Valanciunas
0.3 0.4 100.4 Jordan_Adams
0.6 0.314 109.0 Jordan_Clarkson
1.0 0.361 102.5 Jordan_Farmar
0.7 0.476 107.2 Jordan_Hamilton
0.0 0.273 109.5 Jordan_Hill
0.0 0.0 99.5 Jorge_Gutierrez
1.4 0.415 111.2 Jose_Calderon
0.7 0.323 104.8 Jose_Juan_Barea
0.5 0.421 97.8 Josh_McRoberts
0.9 0.316 101.8 Josh_Smith
1.3 0.378 105.3 Jrue_Holiday
0.0 0.0 132.4 Julius_Randle
0.2 0.323 110.2 Justin_Hamilton
0.6 0.321 98.3 Justin_Holiday
0.0 0.0 101.8 Jusuf_Nurkic
0.7 0.287 100.5 KJ_McDaniels
0.0 0.0 120.6 Kalin_Lucas
1.0 0.349 97.1 Kawhi_Leonard
1.0 0.349 100.0 Kelly_Olynyk
1.4 0.304 102.2 Kemba_Walker
0.6 0.391 99.8 Kendall_Marshall
