0.0 0.0 0.56517922871
1.0 2.0 0.588003114108
2.0 2.0 0.592633543879
3.0 0.0 0.571252771364
4.0 -2.0 0.54459506319
5.0 1.0 0.59013408414
6.0 1.0 0.592899774414
7.0 1.0 0.595523927666
8.0 5.0 0.673348206487
9.0 4.0 0.660856475245
10.0 7.0 0.725916254292
11.0 6.0 0.714134199081
12.0 7.0 0.741938239989
13.0 9.0 0.789046358228
14.0 8.0 0.777736731246
15.0 6.0 0.741424395967
16.0 8.0 0.792651156323
17.0 5.0 0.728496536444
18.0 2.0 0.64671014174
19.0 4.0 0.710358122236
20.0 3.0 0.683486384386
21.0 7.0 0.801784422135
22.0 9.0 0.852404882659
23.0 9.0 0.858031978168
24.0 14.0 0.937628180424
25.0 13.0 0.930991458336
26.0 16.0 0.961759331898
27.0 17.0 0.97064443693
28.0 18.0 0.97775102223
29.0 18.0 0.979648858626
30.0 18.0 0.981377600655
31.0 17.0 0.978957721811
32.0 16.0 0.975976244162
33.0 15.0 0.972291408285
34.0 20.0 0.991711883199
35.0 21.0 0.994066734646
36.0 20.0 0.993181500225
37.0 15.0 0.979005826537
38.0 14.0 0.974933711197
39.0 12.0 0.961319323101
40.0 10.0 0.939623391596
41.0 11.0 0.954824406974
42.0 11.0 0.956752887174
43.0 12.0 0.968276481192
44.0 13.0 0.977048912737
45.0 16.0 0.990749813593
46.0 16.0 0.991375160965
47.0 17.0 0.994034292976
