10 0.000195
11 0.00025
12 0.00056
13 0.000935
14 0.00159
15 0.001695
16 0.002425
17 0.00302
18 0.00393
19 0.004705
20 0.00585
21 0.006895
22 0.00815
23 0.009555
24 0.010405
25 0.012305
26 0.01332
27 0.01494
28 0.015745
29 0.01715
30 0.01968
31 0.02052
32 0.022335
33 0.023565
34 0.025425
35 0.027285
36 0.028635
37 0.030155
38 0.03212
39 0.034575
40 0.035745
41 0.03653
42 0.0393
43 0.041825
44 0.041275
45 0.04236
46 0.046525
47 0.04691
48 0.0483
49 0.050535
50 0.052345
51 0.053875
52 0.05602
53 0.05777
54 0.058675
55 0.06104
56 0.06189
57 0.064815
58 0.06525
59 0.067175
60 0.066525
61 0.0694
62 0.072
63 0.07419
64 0.07471
65 0.077615
66 0.078525
67 0.07935
68 0.08035
69 0.0828
70 0.08506
71 0.08712
72 0.087135
73 0.08845
74 0.09009
75 0.091165
76 0.092635
77 0.093475
78 0.09365
79 0.097595
80 0.098415
81 0.09906
82 0.10213
83 0.101155
84 0.104585
85 0.10545
86 0.10485
87 0.107865
88 0.107565
89 0.11105
90 0.112965
91 0.1128
92 0.11338
93 0.11461
94 0.114905
95 0.1173
96 0.118975
97 0.12069
98 0.121935
99 0.12262
100 0.12455
