0 0.25956 0.37359 0.25877 0.49871
0.025 0.251765 0.3707 0.281315 0.4987
0.05 0.24276 0.36555 0.30779 0.501065
0.075 0.23779 0.361335 0.33097 0.499105
0.1 0.2305 0.355535 0.355235 0.500945
0.125 0.22484 0.354515 0.381115 0.501305
0.15 0.21622 0.35096 0.404825 0.49901
0.175 0.210695 0.34314 0.429735 0.50034
0.2 0.20691 0.344075 0.45083 0.50052
0.225 0.202865 0.33835 0.47668 0.498635
0.25 0.19462 0.336025 0.500095 0.499255
0.275 0.18821 0.33101 0.52022 0.50068
0.3 0.18495 0.328545 0.545635 0.498175
0.325 0.17943 0.32593 0.565805 0.497435
0.35 0.17155 0.319855 0.58806 0.49994
0.375 0.169735 0.317465 0.60551 0.499155
0.4 0.164425 0.31497 0.63027 0.497785
0.425 0.16188 0.310655 0.644475 0.499225
0.45 0.156625 0.31065 0.6638 0.496895
0.475 0.15101 0.30715 0.682355 0.49982
0.5 0.148645 0.302275 0.699935 0.498965
