1984    0.0161016949152542      19      1180
1985    0.0242718446601942      35      1442
1986    0.0263271471730686      61      2317
1987    0.0220461591457113      64      2903
1988    0.0201965065502183      74      3664
1989    0.0210028878970858      80      3809
1990    0.0265471167369902      151     5688
1991    0.0189838079285315      34      1791
1992    0.0234848484848485      62      2640
1993    0.0243829018663456      81      3322
1994    0.019502353732347       29      1487
1995    0.0324594257178527      52      1602
1996    0.0184552289815448      108     5852
1997    0.0208869380959588      276     13214
1998    0.0212160811745715      276     13009
1999    0.0200179937022042      267     13338
2000    0.0201735518801454      272     13483
2001    0.0205875366220603      260     12629
2002    0.0232862064868718      196     8417
2003    0.0193541917368632      193     9972
2004    0.0234586907118246      320     13641
2005    0.0217261012885826      290     13348
2006    0.0184294278735845      249     13511
2007    0.0178427197297893      243     13619
2008    0.0198134355340227      274     13829
2009    0.0217668693237259      290     13323
2010    0.0195890005913661      265     13528
2011    0.019874556034157       263     13233
2012    0.0203094777562863      273     13442
2013    0.0217039434961742      295     13592
2014    0.0205120744835612      282     13748
2015    0.020852641334569       90      4316

