3.03315017762 3.00665927567 122.0 108.9 0.55 0.181 0.293 13.2 11.1 44.4 Aldridge,LaMarcus Batum,Nicolas Matthews,Wesley Miller,Andre Wallace,Gerald 10
3.94968353163 3.92937654088 103.1 95.0 0.459 0.141 0.23 10.1 11.7 38.0 Conley,Mike Gasol,Marc Gay,Rudy Randolph,Zach Young,Sam 10
3.28633534503 3.05941170816 114.8 104.4 0.507 0.15 0.264 12.9 15.5 44.8 Budinger,Chase Hayes,Charles Lowry,Kyle Martin,Kevin Scola,Luis 10
4.0249223595 4.01995024845 106.9 96.0 0.484 0.179 0.235 10.8 9.9 38.4 Allen,Ray Garnett,Kevin Krstic,Nenad Pierce,Paul Rondo,Rajon 10
3.03315017762 3.00665927567 102.9 107.9 0.565 0.17 0.218 9.2 16.8 50.5 Bargnani,Andrea Calderon,Jose DeRozan,DeMar Johnson,Amir Weems,Sonny 10
2.89827534924 2.87054001888 103.0 97.6 0.48 0.14 0.194 10.4 14.2 43.2 Durant,Kevin Ibaka,Serge Perkins,Kendrick Sefolosha,Thabo Westbrook,Russell 10
3.94968353163 3.94968353163 104.5 92.1 0.446 0.149 0.23 11.9 12.8 42.1 Bosh,Chris Chalmers,Mario Dampier,Erick James,LeBron Wade,Dwyane 10
4.28952211791 4.27083130081 115.1 96.1 0.47 0.165 0.202 9.9 11.0 34.7 Allen,Ray Garnett,Kevin O'Neal,Shaquille Pierce,Paul Rondo,Rajon 10
3.25576411922 3.2 100.5 111.6 0.523 0.098 0.229 11.2 14.0 45.5 Harris,Devin Humphries,Kris Lopez,Brook Morrow,Anthony Outlaw,Travis 10
2.86356421266 2.85657137142 100.7 102.9 0.495 0.119 0.216 14.2 15.5 41.4 Afflalo,Arron Anthony,Carmelo Billups,Chauncey Hilario,Nene Williams,Shelden 10
3.84707681233 3.6551333765 119.0 94.4 0.463 0.136 0.2 7.6 15.1 42.1 Butler,Caron Chandler,Tyson Kidd,Jason Nowitzki,Dirk Stevenson,DeShawn 10
3.16227766017 3.16227766017 112.9 102.4 0.486 0.158 0.298 15.2 12.3 41.2 Davis,Baron Foye,Randy Gomes,Ryan Griffin,Blake Jordan,DeAndre 10
3.46410161514 3.07245829915 106.0 101.5 0.49 0.133 0.245 12.4 14.9 47.0 Blatche,Andray Lewis,Rashard McGee,JaVale Wall,John Young,Nick 10
2.72029410175 2.71293199325 112.3 109.0 0.528 0.134 0.256 13.1 11.5 51.1 Durant,Kevin Green,Jeff Ibaka,Serge Sefolosha,Thabo Westbrook,Russell 10
4.73286382648 4.66476151588 99.2 111.8 0.517 0.124 0.33 15.8 15.8 41.5 Collison,Darren Granger,Danny Hibbert,Roy McRoberts,Josh Rush,Brandon 10
3.94968353163 3.92937654088 103.3 105.7 0.496 0.16 0.297 13.3 19.0 46.1 Conley,Mike Gasol,Marc Gay,Rudy Henry,Xavier Randolph,Zach 10
3.84707681233 3.84707681233 108.0 108.3 0.515 0.133 0.264 13.3 8.6 40.6 Aminu,Al-Farouq Bledsoe,Eric Gordon,Eric Griffin,Blake Jordan,DeAndre 10
3.7947331922 3.44093010682 98.5 98.0 0.493 0.173 0.212 12.2 10.1 27.6 Gibson,Daniel Jamison,Antawn Parker,Anthony Varejao,Anderson Williams,Mo 10
3.25576411922 3.2 112.7 107.2 0.496 0.145 0.262 14.9 15.3 45.0 Bibby,Mike Crawford,Jamal Horford,Al Johnson,Joe Smith,Josh 10
3.43511280746 3.38230690506 112.7 106.4 0.501 0.161 0.374 17.0 11.1 39.4 Aldridge,LaMarcus Batum,Nicolas Camby,Marcus Miller,Andre Roy,Brandon 10
4.28952211791 4.11825205639 106.9 107.4 0.564 0.159 0.201 11.5 13.0 42.3 Augustin,D.J. Brown,Kwame Cunningham,Dante Diaw,Boris Henderson,Gerald 10
3.03315017762 3.03315017762 115.0 101.8 0.502 0.143 0.227 10.5 12.6 39.1 Duncan,Tim Ginobili,Manu Jefferson,Richard McDyess,Antonio Parker,Tony 10
4.28952211791 4.11825205639 98.2 109.1 0.542 0.153 0.247 16.2 19.9 50.7 Augustin,D.J. Brown,Kwame Diaw,Boris Henderson,Gerald Jackson,Stephen 10
4.09878030638 4.07921561087 114.1 109.7 0.501 0.108 0.217 11.8 8.7 33.4 Anderson,Ryan Howard,Dwight Nelson,Jameer Richardson,Jason Turkoglu,Hedo 10
3.84707681233 3.76297754445 105.2 95.9 0.454 0.129 0.222 8.5 12.1 29.2 Bibby,Mike Collins,Jason Horford,Al Johnson,Joe Smith,Josh 10
2.96647939484 2.93938769134 105.5 100.7 0.497 0.172 0.217 12.0 16.1 34.5 Bogans,Keith Deng,Luol Gibson,Taj Noah,Joakim Rose,Derrick 10
3.43511280746 3.4292856399 105.3 93.8 0.437 0.153 0.289 12.0 10.6 31.3 Barnes,Matt Blake,Steve Brown,Shannon Gasol,Pau Odom,Lamar 10
3.7947331922 3.7094473982 93.5 99.4 0.493 0.162 0.203 14.6 12.3 36.6 Ariza,Trevor Green,Willie Okafor,Emeka Paul,Chris West,David 10
3.54964786986 3.54400902933 97.9 104.9 0.474 0.107 0.276 14.9 13.7 47.0 Battier,Shane Hill,Jordan Lowry,Kyle Martin,Kevin Scola,Luis 10
3.16227766017 3.05941170816 111.2 96.6 0.458 0.16 0.296 16.4 5.9 36.1 Carter,Vince Frye,Channing Gortat,Marcin Hill,Grant Nash,Steve 10
3.52136337233 3.52136337233 106.7 101.6 0.49 0.17 0.271 15.0 10.8 35.4 Aldridge,LaMarcus Camby,Marcus Matthews,Wesley Miller,Andre Roy,Brandon 10
4.35889894354 4.31740662898 118.8 98.9 0.439 0.133 0.246 9.2 13.6 37.9 Chandler,Tyson Kidd,Jason Marion,Shawn Nowitzki,Dirk Terry,Jason 10
3.06594194335 3.05941170816 108.2 110.9 0.511 0.138 0.322 14.2 11.3 39.2 Aldridge,LaMarcus Batum,Nicolas Cunningham,Dante Matthews,Wesley Miller,Andre 10
2.04939015319 1.788854382 115.6 93.2 0.465 0.194 0.227 8.8 13.8 37.4 Brand,Elton Holiday,Jrue Iguodala,Andre Meeks,Jodie Young,Thaddeus 10
4.14728827067 4.14728827067 105.9 103.0 0.535 0.206 0.241 8.9 18.0 46.5 Allen,Tony Conley,Mike Gasol,Marc Gay,Rudy Randolph,Zach 10
4.35889894354 4.31740662898 115.8 99.2 0.447 0.157 0.287 14.0 10.3 37.4 Butler,Caron Chandler,Tyson Kidd,Jason Nowitzki,Dirk Terry,Jason 10
4.24264068712 4.06939798988 107.1 111.0 0.569 0.157 0.282 12.1 13.2 47.3 Felton,Raymond Fields,Landry Gallinari,Danilo Mozgov,Timofey Stoudemire,Amar'e 10
3.28633534503 3.26190128606 93.9 91.7 0.467 0.207 0.24 7.8 13.2 29.1 Asik,Omer Brewer,Ronnie Gibson,Taj Korver,Kyle Watson,CJ 10
3.31662479036 3.31058907145 112.9 90.9 0.425 0.138 0.242 13.6 10.3 38.6 Anthony,Joel Arroyo,Carlos Bosh,Chris James,LeBron Wade,Dwyane 10
3.37638860323 3.37045990927 102.8 103.7 0.5 0.131 0.219 13.8 21.2 48.3 Cousins,DeMarcus Dalembert,Samuel Garcia,Francisco Thornton,Marcus Udrih,Beno 10
5.0199601592 4.95580467735 113.8 99.8 0.488 0.158 0.218 13.0 11.3 41.5 Bosh,Chris Chalmers,Mario Ilgauskas,Zydrunas James,LeBron Wade,Dwyane 10
1.61245154966 1.6 102.6 113.2 0.542 0.109 0.27 15.8 18.9 43.9 Hamilton,Richard Maxiell,Jason Prince,Tayshaun Stuckey,Rodney Wallace,Ben 10
3.60555127546 3.6 110.4 97.8 0.464 0.148 0.222 12.4 10.2 40.7 Allen,Ray Garnett,Kevin Perkins,Kendrick Pierce,Paul Rondo,Rajon 10
3.40587727319 3.31058907145 93.0 83.1 0.41 0.164 0.164 4.6 8.8 29.6 Asik,Omer Brewer,Ronnie Deng,Luol Gibson,Taj Watson,CJ 10
2.82842712475 2.71293199325 120.3 108.5 0.496 0.133 0.261 15.3 8.9 39.2 Boozer,Carlos Deng,Luol Korver,Kyle Noah,Joakim Rose,Derrick 10
3.06594194335 3.00665927567 115.5 104.7 0.536 0.182 0.25 9.9 11.9 44.1 Aldridge,LaMarcus Batum,Nicolas Fernandez,Rudy Matthews,Wesley Miller,Andre 10
3.66060104354 3.61109401705 104.6 110.5 0.548 0.165 0.305 12.8 9.8 49.3 Ariza,Trevor Belinelli,Marco Landry,Carl Okafor,Emeka Paul,Chris 10
4.0 4.0 119.1 104.8 0.498 0.144 0.272 14.7 19.5 36.6 Allen,Ray Davis,Glen O'Neal,Shaquille Pierce,Paul Rondo,Rajon 10
2.72029410175 2.71293199325 111.3 96.1 0.455 0.15 0.253 11.7 19.5 41.4 Collison,Nick Durant,Kevin Harden,James Ibaka,Serge Westbrook,Russell 10
2.72029410175 2.71293199325 102.3 106.7 0.477 0.098 0.28 20.7 8.5 46.3 Durant,Kevin Green,Jeff Harden,James Ibaka,Serge Westbrook,Russell 10
2.93257565972 2.87054001888 116.8 107.2 0.507 0.151 0.324 16.1 12.1 44.3 Frye,Channing Hill,Grant Nash,Steve Richardson,Jason Turkoglu,Hedo 10
