4363,Beyond Good and Evil,Friedrich Nietzsche,1909,0.000143597925808
19322,The Antichrist,F. W. Nietzsche,1918,0.000267355850637
12002,Review of the Work of Mr John Stuart Mill Entitled 'Examination of Sir William Hamilton's Philosophy.',George Grote,1868,0.000109134562916
4763,The Game of Logic,Lewis Carroll,1887,0.0
25012,The Case Of Wagner Nietzsche Contra Wagner and Selected Aphorisms.,Friedrich Nietzsche.,1911,0.00010769672602
20500,A Short History of Greek Philosophy,John Marshall,1891,0.000614393411046
7836,Jewish History,S. M. Dubnow,1492,3.55454448512e-05
14357,Rudolph Eucken,Abel J. Jones,1846,7.55543802652e-05
18440,Logic,Carveth Read,1898,2.29466566721e-05
23422,Essays Towards a Theory of Knowledge,Alexander Philip,1915,0.0
20814,The Psychology of Nations,G.E. Partridge,1919,7.31147810669e-05
12956,A History of Indian Philosophy Vol. 1,Surendranath Dasgupta,1922,0.000140831185658
28696,Symbolic Logic,Lewis Carroll,1897,0.0
10378,Autobiography,John Stuart Mill,1806,9.30640679634e-05
27942,A System Of Logic Ratiocinative And Inductive,John Stuart Mill,1843,4.10549677719e-05
4776,Political Ideals,Bertrand Russell,1917,0.000134746676249
948,The Ethics [Part III],Benedict de Spinoza,1541,0.0
5637,Literary and Philosophical Essays, Various,,9.18592978013e-05
19634,Beyond Good and Evil,Friedrich Nietzsche,1909,0.0
5246,Modern French Philosophy: A Study Of The Development Since Comte,J. Alexander Gunn,1922,1.92754363477e-05
4583,Dialogues Concerning Natural Religion,David Hume,1779,0.000250208507089
