Knicks 98.4366666667
Thunder 94.5154482759
Hawks 91.6736455696
Wizards 92.7151084337
76ers 91.809097561
Nuggets 97.1651294118
Cavaliers 90.2943333333
Jazz 96.1697183099
Timberwolves 93.53875
Clippers 94.1153253012
Bulls 96.2734805195
Nets 91.7257333333
Heat 92.2522424242
Trail-Blazers 88.8155384615
Warriors 101.931255319
Celtics 92.0736857143
Magic 93.7370886076
Mavericks 93.6554146341
Bobcats 90.7364864865
Lakers 96.781
Pacers 98.6931648352
Rockets 92.7723783784
Kings 95.44032
Raptors 94.0751954023
Spurs 90.2149722222
Pistons 89.0002535211
Grizzlies 91.770961039
Suns 98.1586582278
Bucks 94.94695
Hornets 89.258556962
