-0.800 -0.116 0.121 -0.469 0.949 -0.478 -0.138 -0.740 -0.565
0.176 0.161 -0.335 0.157 -0.856 -0.381 -0.138 -0.173 -0.102
-0.547 -0.316 -0.335 -0.121 -1.032 -0.279 -0.101 -1.153 -0.634
-0.800 -0.262 0.324 -0.469 1.719 -0.482 -0.138 -0.397 -0.388
-0.536 -0.293 -0.335 -0.469 -0.906 0.049 0.090 -0.940 -0.459
-0.451 0.403 -0.335 -0.098 -0.942 -0.365 -0.120 -1.052 -0.645
-0.800 -0.287 0.561 -0.469 0.711 -0.482 -0.138 1.509 2.137
-0.373 -0.334 -0.335 -0.051 -1.073 0.199 0.191 -1.076 -0.658
-0.626 -0.008 -0.233 -0.469 -0.102 -0.188 -0.138 -0.858 -0.527
-0.614 -0.332 -0.335 0.181 -1.034 -0.482 0.001 -1.194 -0.640
-0.800 -0.300 0.231 -0.469 1.202 -0.482 -0.138 -0.592 -0.464
-0.800 -0.266 0.164 -0.469 0.821 -0.482 -0.138 -0.209 0.107
-0.437 0.181 -0.335 0.366 0.585 -0.401 -0.138 -0.374 -0.304
1.597 1.079 -0.309 0.250 -0.287 -0.283 -0.138 1.455 0.429
-0.176 -0.334 -0.335 2.082 0.206 -0.225 -0.103 2.376 3.192
-0.449 -0.331 -0.335 1.108 1.188 -0.401 -0.108 2.317 3.077
-0.800 -0.265 0.409 -0.469 1.400 -0.482 -0.138 -0.309 -0.241
1.422 3.047 -0.140 -0.237 -0.364 0.273 -0.122 1.249 0.487
-0.800 -0.263 0.307 -0.469 1.418 -0.482 -0.138 -0.161 -0.018
-0.290 -0.082 -0.318 -0.190 -0.867 -0.160 -0.120 -0.940 -0.645
-0.800 -0.236 0.164 -0.469 1.136 -0.482 -0.138 0.169 0.412
-0.594 0.442 -0.335 0.111 -1.000 -0.482 -0.112 -0.858 -0.236
1.664 -0.017 -0.233 -0.422 0.026 1.300 -0.016 1.219 0.163
-0.665 -0.309 -0.335 -0.075 -0.846 -0.482 2.224 -1.200 -0.645
-0.435 -0.327 -0.335 0.737 -0.061 -0.322 -0.032 -0.616 -0.342
0.345 0.131 -0.115 -0.005 -0.020 -0.347 -0.125 0.641 0.490
0.763 -0.134 -0.335 0.436 -0.769 -0.467 -0.040 0.570 0.307
-0.800 -0.269 0.147 -0.469 0.861 -0.482 -0.138 -0.468 -0.215
-0.800 -0.334 -0.335 -0.469 -1.092 -0.482 -0.138 3.881 5.645
-0.463 -0.256 -0.301 -0.075 -0.789 -0.044 0.210 -0.958 -0.569
0.017 -0.010 -0.335 0.807 0.379 -0.160 -0.129 2.293 2.877
-0.293 -0.332 -0.335 0.088 -1.068 0.283 -0.058 -1.029 -0.659
-0.038 -0.110 -0.335 -0.469 -0.425 -0.482 -0.136 -0.645 -0.609
2.137 -0.328 -0.335 0.157 0.140 -0.442 -0.138 0.753 -0.455
-0.800 -0.334 -0.335 -0.469 0.737 -0.482 -0.138 -0.681 -0.430
-0.744 0.406 -0.335 -0.469 -1.068 -0.482 -0.138 2.370 3.765
-0.800 -0.116 0.594 -0.469 1.329 -0.482 -0.138 -0.161 0.013
-0.187 0.145 -0.031 -0.237 -0.032 -0.179 -0.134 0.140 0.298
-0.624 0.258 -0.309 -0.376 -0.737 -0.467 -0.138 -1.023 -0.521
-0.800 -0.285 0.586 -0.469 1.222 -0.482 -0.138 0.464 0.736
-0.748 -0.252 2.132 -0.469 0.640 -0.482 0.182 -0.569 -0.343
1.411 1.697 -0.335 0.204 -0.124 -0.338 -0.138 1.255 0.436
-0.449 -0.329 -0.335 -0.469 -1.086 -0.482 -0.138 -1.117 -0.669
-0.800 -0.289 0.172 -0.469 0.794 -0.482 -0.132 -0.091 0.215
-0.800 -0.271 0.206 -0.469 1.229 -0.482 -0.138 -0.468 -0.374
-0.800 -0.326 -0.335 -0.469 -1.092 -0.482 -0.138 3.857 5.614
-0.252 -0.071 -0.335 -0.469 -0.086 -0.482 -0.138 -0.468 -0.301
0.592 0.314 -0.335 -0.144 -0.998 1.797 -0.134 -0.392 -0.637
0.221 0.327 -0.039 -0.214 0.137 -0.024 -0.127 0.216 0.074
-0.383 -0.299 -0.335 -0.469 -1.053 0.266 0.286 -1.047 -0.670
0.720 0.160 -0.005 0.157 -0.438 -0.482 -0.132 0.411 0.050
