Turkey_from_whole,_enhanced,_light_meat,_meat_only,_raw -0.572848037138 1.59985393365 -0.856697094455 0.948494605879 -0.7305644037 0.211207540414 -0.101225545103 -0.31515105186 -0.314005757981 -0.147362808152 0.401674384206 0.277583613372 -0.517719372598 0.374839769316 -1.03964623092 0.336652002738 0.598770076206 0.190388763969 -0.172357441682 0.179896713093 -0.1581835243 0.150642708742 0.259722577633 -0.475860331133
Restaurant,_family_style,_hash_browns -0.954595339964 -0.107894767632 0.449150781947 -0.387839894072 0.356669357278 0.481818687903 -0.167767241102 0.521648770048 -0.393541864186 0.293928834763 -0.179325411566 0.213894818748 0.357368789142 0.177163411586 -0.429935867177 -0.238466085199 -0.441676120823 0.113041836208 -0.306023069119 0.338824175022 -0.240954277643 -0.0547609776614 0.0432768096296 -0.178357350263
Squash,_winter,_spaghetti,_raw -2.44935188293 1.11099461657 0.570718455268 -0.417591614078 -0.102987165712 0.591017916832 -0.257426587646 0.346045938506 0.47361060273 0.215078247711 -0.181958315238 -0.052743308181 0.122245803345 0.0748290765429 0.00968575059334 -0.120176454784 0.106287066358 0.00640203811056 -0.0256589601868 0.151070793403 -0.0934257148867 -0.013883573507 0.0801498042611 -0.0167368907762
Beef,_round,_eye_of_round_steak,_boneless,_separable_lean_and_fat,_trimmed_to_0"_fat,_all_grades,_cooked,_grilled 0.0816026166388 1.33806829497 -1.5569006127 1.44977041727 -0.633556914093 -0.072368063745 0.475444452216 -0.584642442308 -0.35455952482 -0.596179774594 0.354719228783 0.344003714961 -0.390707583091 0.0836131606389 -0.776469490963 0.168593522094 0.175996482768 0.504752787522 -0.116672296326 0.0308399999551 0.106777231846 -0.0239404969604 0.124956544406 -0.110777929546
Infant_formula,_MEAD_JOHNSON,_ENFAMIL,_Premature,_24_calories_ready-to-feed_Low_iron -1.8081803061 0.966994685105 0.212322709415 -0.668431753286 -0.169070757624 0.27596554759 -0.574212947705 0.0149888063751 0.766763473053 0.188686832069 0.112696900743 0.0595479883348 0.185611521766 -0.0231875953895 0.166817074177 0.0651312525857 0.121701289135 0.0111423636819 -0.0668353288669 0.0194781473868 -0.290344667589 0.0640343198112 0.149730915772 -0.0559562470674
CAMPBELL'S_Red_and_White,_Manhattan_Clam_Chowder,_condensed -1.21076321549 1.50352570151 0.186277598031 -0.118505303857 -0.112063266489 0.280819540765 -0.67174781886 0.525132111381 0.144336985575 -0.106217434575 -0.0609862823779 -0.0584422721419 0.311012360169 0.446361362816 0.223005589699 -0.165181744498 0.153173759994 0.00188308864619 -0.0626377035999 0.527026241867 0.00343295791984 0.35525337932 -0.0149980278525 -0.0282437495771
Turkey,_young_hen,_skin_only,_cooked,_roasted 0.0479597437477 -3.7790425233 -1.82116780752 0.228108254935 -0.532767378883 0.350691356146 0.0561288262217 -0.209458149853 0.076344449329 0.193611827549 -0.0413287460025 0.253887181288 0.115861908579 -0.420300701849 -0.116883617103 0.308653090265 0.118024724516 -0.0627141845269 0.289070722232 -0.565935374089 0.0135977942544 0.0714155218029 0.05383132116 0.00851657907698
Babyfood,_fruit,_applesauce_and_apricots,_strained -2.43616419105 0.992639179413 0.843091244579 -0.719287058594 0.053848654626 0.461366819536 -0.15043075991 -0.000427582801559 0.371681973619 0.203382406306 -0.172547491976 0.00441206083524 0.183971667392 0.0107939973941 0.139219002229 -0.120761379063 0.0724119593626 -0.00910906938213 0.0375662031688 -0.0708603275349 0.066185663374 0.0849263932782 0.0954895049868 0.0456149871613
Cheese,_cottage,_lowfat,_2%_milkfat -1.92439355173 0.901574818433 0.0238700226944 0.117858484719 0.137515979882 -0.218593863221 -0.455147403655 0.0855432550001 0.428105898917 0.106360776678 0.225573419176 -0.0570111919857 -0.0875028959134 -0.0192664492492 -0.0149484461142 -0.0323041337772 0.00608249038742 -0.151659320597 -0.0101040771246 -0.222163481088 -0.168985660327 0.0252142985816 -0.162562952597 0.402563545849
Chayote,_fruit,_cooked,_boiled,_drained,_without_salt -2.26401504577 0.767066616981 0.590614580913 -0.444220095259 0.0225100384706 0.817135219591 -0.248516803619 0.318459492982 0.45852444469 0.284508024741 -0.204445015878 0.200870560333 0.478253249636 0.135705981009 0.0580634993421 -0.136793023524 0.290550936344 0.114174286287 0.241098412355 -0.205830816458 0.138498905535 0.166585080305 0.185282749458 0.0829316593016
Beef,_New_Zealand,_imported,_manufacturing_beef,_cooked,_boiled -1.2499522039 1.03024899471 -0.926301015668 0.917289753794 -0.438275115834 -0.101625261454 0.593689945517 -0.00642385392347 0.0304585564459 -0.524122630681 -0.102939490137 0.192040058035 -0.142866822158 -0.104180757723 0.249474111099 0.484181781481 -0.453016181385 -0.198097978389 -0.152353194941 -0.462956750659 -0.0766794358625 -0.261766677479 -0.0421175501131 0.216122753759
Beef,_Australian,_Wagyu,_loin,_tenderloin_steak/roast,_boneless,_separable_lean_only,_Aust._marble_score_4/5,_raw -0.57287404395 0.196767391686 -1.04791940507 0.721547374236 -0.471098168717 0.223834434475 0.170964001726 -0.0760422088617 -0.0136178281168 -0.0443693831188 0.203686808407 -0.464952841937 -0.157993296429 -0.0290282702137 -0.125674484958 0.0960691933249 0.0672218412244 -0.333063958028 0.0420942145842 -0.0955900712809 0.0394044846232 -0.120476470887 -0.0724350730154 0.139130196323
